Title,Year,Directors
CHAR DIL CHAR RAHEN,1959,K.A. ABBAS
CHAR DIVAS SASUCHE CHAR DIVAS SUNECHE,1962,KAMLAKAR TORNE
CHAR DIWARI,1961,KRISHAN CHOPRA
CHARA CHAR,1993,BUDHADEV DASGUPTA
CHARULATA,1964,SATYAJIT RAY
CHASHME BUDDOOR,1981,SAI PARANJPE
CHATRA BAKAVLI,1932,J.J. MADAN
CHATRAPATI SHIVAJI,1952,BHALJI PENDHARKAR
CHATTAKKARI,1974,K.S. SETHUMADHAVAN
CHATTAMBI KALYANI,1975,SASIKUMAR
CHATTAMBI KAVALA,1969,N. SHANKARAN NAIR
CHAUDHVI KA CHAND,1960,M. SADIQ
CHAUKAT RAJA,1991,SANJAY SURKAR
CHAURAHA,1994,SADAVAT HUSSENI
CHELUVI,1992,GIRISH KARNAD
CHEMMEEN,1965,RAMU KARIAT
CHEMPARATHI,1972,P.N. MENON
CHENGHIZ KHAN,1957,KEDAR KAPOOR
CHERIYACHENTE KROORA KRITHYANGAL,1979,JOHN ABRAHAM
CHHATRABHANG,1976,NEENA SHIVADASANI
CHHATRAPATI SAMBHAJI,1934,P.Y. ALTEKAR
CHHATRAPATI SHIVAJI,1952,BHALJI PENDHARKAR
CHHATRAPATI SHIVAJI,1952,BHALJI PENDHARKAR
CHHELEY KAAR,1954,CHITTA BOSE
CHHOTA BAAP,1977,SHANTILAL SONI
CHHOTI BAHEN,1959,L.V. PRASAD
CHHOTI SI BAAT,1975,BASU CHATTERJEE
CHHUPI CHHUPI ASHEY,1960,PREMENDRA MITRA
CHHUTI,1966,ARUNDHATI DEVI
CHIDAMBARAM,1985,G. ARAVINDAN
CHILDREN OF THE SILVER SCREEN,1990,DILIP GHOSH
CHILIKA TEERE,1978,BIPLAB ROY CHAUDHARI
CHINA TOWN,1962,SHAKTI SAMANTA
CHINNAIMUL PERIAMUL,1981,RAJMOHAN
CHINNARI MUTHA,1993,T.S. NAGABHARANA
CHINTAMANI,1937,Y.V. RAO
CHINTHAVISHTAVAYA SHYAMALA,1999,VENU
CHIRANJIVI,1936,K.P. BHAVE
CHIT CHOR,1976,BASU CHATTERJEE
CHITHEGU CHINTHE,1978,M.S. SATHYU
CHITTI CHELLALU,1970,M. KRISHNAN
CHOKH,1982,UTPALENDU CHAKRABORTY
CHOMANA DUDI,1975,B.V. KARANTH
CHOONDA,2003,VENUGOPAN
CHOPPER,1985,NABYENDU CHATTERJEE
CHOR MACHAYE SHOR,1974,ASHOK ROY
CHORE,1950,A.P. KAPOOR
CHORI CHORI,1956,ANANT THAKUR
CHORICHA MAMLA,1976,BABASAHEB S. FATEHLAL
CHORUS,1974,MRINAL SEN
CHOTA BHAI,1949,KARTICK CHATTOPADHYAY
CHOWRINGHEE,1968,PINAKI MUKHERJEE
CHUVANNA VITHUKAL,1976,P.A. BACKER
CIRCUSWALE,1950,BALWANT BHATT
CITRUS CULTIVATION,1960,KRISHNA KAPIL
CITY ON THE WATER,1975,CHARLES CHOREA
CIVIL PIONEERS,1942,KENNETH VILLIERS
CLOSE TO NATURE,1968,SHYAM BENEGAL
CLOVEN HORIZON,1965,KANTILAL RATHOD
COLLECTOR MALATHI,1967,M. KRISHNAN NAIR
COLLEGE GIRL,1960,T. PRAKASH RAO
COLORS OF ABSENCE,1994,ARUN KHOPKAR
COMET / DHOOMKETU,1949,HOMI WADIA
COMMUNITY MANNERS,1942,G.R. SETHI
CONCRETE,1942,EZRA MIR
CREATIONS IN METALS,1971,HOMI D. SETHNA
CROSS CURRENTS,1969,DILIP JAMDAR
CROW AND THE SNAKE,1968,M.B. NAYA
D.G. PHALKE FILMS (EXT.),1965,D.G. PHALKE
DAAG / THE FIRE,1999,DEEPA MEHTA
DAAKAL,1981,GAUTAM GHOSH
DAASI,1944,HIREN BOSE
DAASI,1988,B. NARSINGA RAO
DADA THAKUR,1962,SUDHIR MUKHERJEE
DADAR KIRTI,1980,TARUN MAJUMDAR
DADU,1968,AJIT GANGULI
DAHAM,1965,K.S. SETHUMADHAVAN
DAHAN,1997,RITUPARNO GHOSH
DAIVA PIRAVI,1960,KRISHNAN & PANJU
DAIVATHAI,1964,P. MADHAVAN
DAKSHA YAGNA,1934,JYOTISH BANNERJEE
DAKSHAYAGNAM,1962,K.B. NAGABHUSHNAM
DAKU KA LADKA,1935,CHARU ROY
DAMAN,2000,KALPANA
DAMINI,1992,RAJKUMAR SANTOSHI
DAMUL,1984,PRAKASH JHA
DANCE LIKE A MAN,2003,PAMELA ROOKS
DANGEYEDDA MAKKALU,1979,VADIRAJ
DANY,2001,T.V. CHANDRAN
DAROGAJI,1949,AKHTAR HUSSAIN
DARPAN,1971,A. SUBBA RAO
DARR,1993,YASH CHOPRA
DASAVATHARA,1960,P.G. MOHAN
DASTAAK,1970,RAJINDER SINGH BEDI
DASTAN,1972,B.R. CHOPRA
DEBSHISHU,1987,UTPALENDU CHAKRABORTY
DEEDAR,1951,NITIN BOSE
DEEWAR,1975,YASH CHOPRA
DEKHA,2000,GOUTAM GHOSH
DELHI JUNCTION,1958,MOHD. HUSSAIN
DELHI KI KAHANIYA,1960,RAJENDRA KUMAR
DEMON LAND/VETHALA ULAGAM,1948,A.V. MEIYAPPAN
DESAMANTE MANASULOI,1970,C.S. RAO
DEV,2004,GOVIND NIHALANI
DEVAKI NANDAN GOPALA,1977,RAJ DUTT
DEVAR,1966,MOHAN SEHGAL
DEVARAKADU,1993,PATTABHIRAMA REDDY
DEVATA,1978,S. RAMANATHAN
DEVATA,1956,PATTANNA
DEVDAS,1956,BIMAL ROY
DEVDAS,1953,VEDANTAM RAGHAVAIAH
DEVDAS,2002,SANJAY LEELA BHANSALI
DEVI,1960,SATYAJIT RAY
DEVI,1972,K.S. SETHUMADHAVAN
DEVI CHOUDHURANI,1974,DINEN GUPTA
DEVIMALINI,1955,NIREN LAHIRI
